index,path,channel,x,y,from_x,from_y,result,scan,phase,distance_m,movement_s,switch_s,operating_s,delta_s,virtual_time_s,accounting_error_s
1,/enter,,0.0,0.0,0.0,0.0,,False,0,0.0,0.0,0,0,0.0,0,0.0
2,/measure,1,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,0,5,5,5,0.0
3,/measure,2,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,11,0.0
4,/measure,3,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,17,0.0
5,/measure,4,0.0,0.0,0.0,0.0,direction,True,1,0.0,0.0,1,5,6,23,0.0
6,/measure,5,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,29,0.0
7,/measure,6,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,35,0.0
8,/measure,7,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,41,0.0
9,/measure,8,0.0,0.0,0.0,0.0,direction,True,1,0.0,0.0,1,5,6,47,0.0
10,/measure,9,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,53,0.0
11,/measure,10,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,59,0.0
12,/measure,11,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,65,0.0
13,/measure,12,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,71,0.0
14,/measure,13,0.0,0.0,0.0,0.0,direction,True,1,0.0,0.0,1,5,6,77,0.0
15,/measure,14,0.0,0.0,0.0,0.0,direction,True,1,0.0,0.0,1,5,6,83,0.0
16,/measure,15,0.0,0.0,0.0,0.0,direction,True,1,0.0,0.0,1,5,6,89,0.0
17,/measure,16,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,95,0.0
18,/measure,17,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,101,0.0
19,/measure,18,0.0,0.0,0.0,0.0,direction,True,1,0.0,0.0,1,5,6,107,0.0
20,/measure,19,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,113,0.0
21,/measure,20,0.0,0.0,0.0,0.0,no_signal,True,1,0.0,0.0,1,5,6,119,0.0
22,/measure,14,673.5216573338535,362.6324023648717,0.0,0.0,direction,False,1,764.9403127974489,152.98806255948978,1,5,158.988063,277.988063,4.405102345117484e-07
23,/measure,14,1042.6093030195993,317.4828976445972,673.5216573338535,362.6324023648717,direction,False,1,371.83890056627047,74.3677801132541,0,5,79.36777999999998,357.355843,-1.1325411719553813e-07
24,/measure,14,1065.47534198127,314.6246899333102,1042.6093030195993,317.4828976445972,direction,False,1,23.043981624656432,4.608796324931286,0,5,9.608795999999984,366.964639,-3.2493130230903944e-07
25,/clear,14,1068.064833299027,314.2536189260005,1065.47534198127,314.6246899333102,success,False,1,2.6159432289719886,0.5231886457943977,0,5,5.523189000000002,372.487828,3.5420560440257987e-07
26,/measure,13,762.5479657116625,55.37619522155188,1068.064833299027,314.2536189260005,direction,False,1,400.44734595730284,80.08946919146057,1,5,86.08946900000001,458.577297,-1.9146055763030745e-07
