x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,w,a_m,beta_deg
906.616940073079,572.7885087952,25.0757219305311,0.266218101696506,0.0,0.0,0.000226353431878567,0.999773646568109,0.0,0.266218101696506,-1.19904086659517e-14,1.06581410364015e-13,5250.0,4.0,1.0,556.878623009865,906.616940073079,572.7885087952,0,0.0,0.0
895.786469470461,562.29002494931,25.08622944755,0.28767730475581,0.0,0.0,0.000112641428802371,0.999887358571197,0.0,0.28767730475581,-7.7715611723761e-16,1.06581410364015e-13,5586.0,4.0,1.0,546.57075590878,895.786469470461,562.29002494931,0.05,0.0,0.0
885.869215864265,554.025922660584,25.1124513334643,0.304022582091716,0.0,0.0,5.2227124428123e-05,0.999947772875536,0.0,0.304022582091716,-3.54161144855425e-14,1.06581410364015e-13,5082.0,4.0,1.0,538.480992223537,885.869215864265,554.025922660584,0.1,0.0,0.0
867.443056398354,541.793287188394,25.1970352289063,0.328364013031935,0.0,0.0,6.30159831084354e-06,0.999993698401647,6.30159831084354e-06,0.328357711433624,-4.19664303308309e-14,1.06581410364015e-13,5082.0,4.0,1.0,526.571800665057,867.443056398354,541.793287188394,0.2,0.0,0.0
840.921239985028,529.583659829511,25.3912445788793,0.354196970328774,0.0,0.0,0.0,0.999999999999999,0.0,0.354196970328774,-5.55111512312578e-16,1.06581410364015e-13,4242.0,4.0,1.0,514.82690241106,840.921239985028,529.583659829511,0.35,0.0,0.0
813.824371479152,521.018510869701,25.6746025594921,0.373364048581301,0.0,0.0,0.0,0.999999999999999,0.0,0.373364048581301,-1.11022302462516e-15,1.06581410364015e-13,4242.0,4.0,1.0,506.735963527265,813.824371479152,521.018510869701,0.5,0.0,0.0
785.070084106417,513.089848289038,26.0760243822643,0.388135209679879,0.0,0.0,0.0,1.00000000000002,0.0,0.388135209679879,1.88737914186277e-14,1.06581410364015e-13,3570.0,4.0,0.0,499.31034003036,785.070084106417,513.089848289038,0.65,0.0,0.0
754.029054966445,502.358537975245,26.6505996180946,0.398915466793778,0.0,0.0,0.0,1.00000000000001,0.0,0.398915466793778,9.76996261670138e-15,1.06581410364015e-13,3654.0,4.0,1.0,489.122404803888,754.029054966445,502.358537975245,0.8,0.0,0.0
731.423130778445,490.731442402798,27.1956180996089,0.403657784398241,0.0,0.0,0.0,1.0,0.0,0.403657784398241,-4.44089209850063e-16,1.13686837721616e-13,3990.0,4.0,1.0,477.891607871233,731.423130778445,490.731442402798,0.9,0.0,0.0
719.103049974651,482.248273896758,27.5563608124741,0.405105218188292,0.0,0.0,0.0,1.0,0.0,0.405105218188292,-4.44089209850063e-16,1.13686837721616e-13,4242.0,4.0,1.0,469.624746450374,719.103049974651,482.248273896758,0.95,0.0,0.0
705.538591283356,470.667882718127,28.0244885004235,0.40567955603705,0.0,0.0,0.0,1.0,0.0,0.40567955603705,2.22044604925031e-16,1.13686837721616e-13,3990.0,4.0,1.0,458.282851467592,705.538591283356,470.667882718127,1,0.0,0.0
906.616940073079,572.7885087952,25.0757219305311,0.266218101696506,0.0,0.0,0.000226353431878567,0.999773646568109,0.0,0.266218101696506,-1.19904086659517e-14,1.06581410364015e-13,5250.0,4.0,1.0,556.878623009865,128.4524439978,-42.7409295759101,0,1200.0,150.0
895.791247795078,-562.285354900446,25.0862262114947,0.287674230363978,0.0,0.0,0.000112649808621117,0.999887350191384,0.0,0.287674230363978,4.66293670342566e-15,9.9475983006414e-14,5586.0,4.0,1.0,546.566003177923,705.364700371924,934.849025417274,0.05,1200.0,150.0
885.865969708959,554.030157284062,25.1124544198974,0.304023970843091,0.0,0.0,5.22256733577284e-05,0.999947774326615,0.0,0.304023970843091,-2.75335310107039e-14,9.9475983006414e-14,5082.0,4.0,1.0,538.485282855283,155.802487241874,-36.8712058162065,0.1,1200.0,150.0
867.441420896523,541.785378788042,25.1970587365262,0.328368714271575,0.0,0.0,6.29661531469579e-06,0.999993703384683,6.29661531469579e-06,0.328362417656261,-2.66453525910038e-15,1.06581410364015e-13,5082.0,4.0,1.0,526.563922012635,177.88100381472,-35.4791909811577,0.2,1200.0,150.0
840.915117955948,529.58911246801,25.3912747321218,0.354199770392212,0.0,0.0,0.0,0.999999999999998,0.0,0.354199770392212,-1.55431223447522e-15,1.06581410364015e-13,4242.0,4.0,1.0,514.832461063235,206.951589189756,-38.1800659869769,0.35,1200.0,150.0
813.825742819345,-521.018556706647,25.6745874172399,0.373363291502594,0.0,0.0,0.0,1.00000000000001,0.0,0.373363291502594,8.65973959207622e-15,1.06581410364015e-13,4242.0,4.0,1.0,506.735985424043,755.715510818029,858.128177360732,0.5,1200.0,150.0
785.06712017807,-513.098078460639,26.0760206143891,0.388135108264536,0.0,0.0,0.0,1.00000000000001,0.0,0.388135108264536,8.21565038222616e-15,1.06581410364015e-13,3822.0,4.0,0.0,499.318620676148,776.66096948022,836.88953066893,0.65,1200.0,150.0
754.023082260864,-502.361406284635,26.6506863445467,0.398916550911663,0.0,0.0,0.0,1.00000000000001,0.0,0.398916550911663,9.99200722162641e-15,1.13686837721616e-13,3738.0,4.0,1.0,489.125376914506,798.177558864566,812.069280853802,0.8,1200.0,150.0
731.423130778445,490.731442402798,27.1956180996089,0.403657784398241,0.0,0.0,0.0,0.999999999999999,0.0,0.403657784398241,-8.88178419700125e-16,1.13686837721616e-13,3990.0,4.0,1.0,477.891607871233,321.20326662892,-59.2743301673807,0.9,1200.0,150.0
719.108825227066,-482.253552502158,27.5561689142611,0.405104713205288,0.0,0.0,0.0,1.00000000000001,0.0,0.405104713205288,9.76996261670138e-15,1.13686837721616e-13,4242.0,4.0,1.0,469.629923459764,818.360265518856,777.198240145694,0.95,1200.0,150.0
705.533043499876,-470.672776466939,28.0245639117074,0.405679556046796,0.0,0.0,0.0,1.00000000000001,0.0,0.405679556046796,1.08801856413265e-14,1.13686837721616e-13,3990.0,4.0,1.0,458.287841293235,824.326849353225,760.381103040062,1,1200.0,150.0
458.353466053093,275.448404116768,12.2879753124748,1.00000000000003,0.0,0.0,0.0,1.00000000000003,0.0,1.00000000000003,3.08642000845794e-14,5.50670620214078e-14,3360.0,1.0,1.0,267.407081009161,1459.22154345624,467.72204842355,0,1200.0,30.0
458.353466053093,275.448404116768,12.2879753124748,1.00000000000003,0.0,0.0,0.0,1.00000000000003,0.0,1.00000000000003,3.08642000845794e-14,5.50670620214078e-14,3360.0,1.0,1.0,267.407081009161,1459.22154345624,467.72204842355,0.05,1200.0,30.0
458.353466053093,275.448404116768,12.2879753124748,1.00000000000003,0.0,0.0,0.0,1.00000000000003,0.0,1.00000000000003,3.08642000845794e-14,5.50670620214078e-14,3360.0,1.0,1.0,267.407081009161,1459.22154345624,467.72204842355,0.1,1200.0,30.0
458.353466053093,275.448404116768,12.2879753124748,1.00000000000003,0.0,0.0,0.0,1.00000000000003,0.0,1.00000000000003,3.08642000845794e-14,5.50670620214078e-14,3360.0,1.0,1.0,267.407081009161,1459.22154345624,467.72204842355,0.2,1200.0,30.0
458.353466053093,275.448404116768,12.2879753124748,1.00000000000003,0.0,0.0,0.0,1.00000000000003,0.0,1.00000000000003,3.08642000845794e-14,5.50670620214078e-14,3360.0,1.0,1.0,267.407081009161,1459.22154345624,467.72204842355,0.35,1200.0,30.0
458.353466053093,275.448404116768,12.2879753124748,1.00000000000003,0.0,0.0,0.0,1.00000000000003,0.0,1.00000000000003,3.08642000845794e-14,5.50670620214078e-14,3360.0,1.0,1.0,267.407081009161,1459.22154345624,467.72204842355,0.5,1200.0,30.0
