x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
600,250,122.3730821981358,1500,122.3730821981358,0,5.967917696334262,354.5780102559606,81,0,0
600,255,120.7198068564634,1500,120.7198068564634,0,5.962847143701375,352.6242069203724,81,0,0
600,260,119.1197529400724,1500,119.1197529400724,0,5.957792609233696,350.6377820616613,81,0,0
600,265,117.5705502866758,1500,117.5705502866758,0,5.952754274184769,348.6190341235626,81,0,0
600,270,116.0699667252482,1500,116.0699667252482,0,5.947732315358691,346.5682626881043,81,0,0
600,275,114.6158981761516,1500,114.6158981761516,0,5.942726905108265,344.4857683110425,81,0,0
600,280,113.206359591795,1500,113.206359591795,0,5.937738211335641,342.3718523610124,81,0,0
600,285,111.8394766557317,1500,111.8394766557317,0,5.932766397495416,340.2268168624857,81,0,0
600,290,110.5134781671298,1500,110.5134781671298,0,5.927811622600128,338.0509643426242,81,0,0
600,295,109.226689045484,1500,109.226689045484,0,5.922874041228092,335.8445976821,81,0,0
600,300,107.9775238974282,1500,107.9775238974282,0,5.917953803533531,333.6080199699478,81,0,0
600,305,106.7644810936379,1500,106.7644810936379,0,5.913051055258943,331.3415343625003,81,0,0
600,310,105.5861373092526,1500,105.5861373092526,0,5.908165937749649,329.0454439464494,81,0,0
600,315,104.4411424860335,1500,104.4411424860335,0,5.903298587970453,326.7200516060655,81,0,0
600,320,103.3282151787387,1500,103.3282151787387,0,5.898449138524382,324.3656598945988,81,0,0
600,325,102.2461382519427,1500,102.2461382519427,0,5.893617717673418,321.9825709098749,81,0,0
600,330,101.1937548968952,1500,101.1937548968952,0,5.888804449361174,319.5710861740922,81,0,0
600,335,100.1699649409856,1500,100.1699649409856,0,5.884009453237457,317.1315065178168,81,0,0
600,340,99.17372142503213,1500,99.17372142503213,0,5.879232844684656,314.6641319681653,81,0,0
600,345,98.20402742598779,1500,98.20402742598779,0,5.87447473484588,312.1692616411576,81,0,0
