w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.53639606815368,4.44089209850063e-16,238.148992765566
0.05,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.509576264745996,4.44089209850063e-16,238.148992765566
0.1,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.482756461338312,4.44089209850063e-16,238.148992765566
0.2,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.429116854522944,4.44089209850063e-16,238.148992765566
0.35,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.34865744429989204,4.44089209850063e-16,238.148992765566
0.5,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.26819803407684,4.44089209850063e-16,238.148992765566
0.65,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.18773862385378798,4.44089209850063e-16,238.148992765566
0.8,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.10727921363073598,4.44089209850063e-16,238.148992765566
0.9,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.05363960681536799,4.44089209850063e-16,238.148992765566
0.95,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.02681980340768402,4.44089209850063e-16,238.148992765566
1,1454.62233962736,412.051795076193,10.7279213630736,1.0,0.0,0.0,4.44089209850063e-16,238.148992765566
