w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,128.4524439978,-42.7409295759099,25.0757219320102,0.266218101696499,0.0,1.25378609660051,-1.57207580286922e-13,556.878623009865
0.05,705.364700371924,934.849025417275,25.0862262102622,0.287674230363955,0.0,1.227212033469257,-7.43849426498855e-14,546.566003177924
0.1,155.802487241874,-36.8712058162065,25.1124544189958,0.304023970843076,0.0,1.1996580517705033,2.24265050974282e-14,538.485282855284
0.2,177.88100381472,-35.4791909811578,25.1970587391179,0.328368714271554,0.0,1.1422086067104051,1.99840144432528e-14,526.563922012636
0.35,206.951589189756,-38.1800659869771,25.3912747288941,0.354199770392219,0.0,1.0512465090517815,1.64313007644523e-14,514.832461063235
0.5,755.715510818029,858.128177360732,25.6745874194334,0.373363291502587,0.0,0.9551830397345414,6.30606677987089e-14,506.735985424043
0.65,776.660969480219,836.889530668929,26.0760206143838,0.388135108264543,0.0,0.8540425403797636,-2.45914399954472e-13,499.318620676147
0.8,798.177558864566,812.069280853801,26.6506863429139,0.398916550911669,0.0,0.7473736226998038,2.08721928629529e-14,489.125376914506
0.9,321.203266628919,-59.2743301673807,27.1956181040777,0.403657784398248,0.0,0.6726860845619652,-5.77315972805081e-15,477.891607871233
0.95,818.360265518855,777.198240145695,27.556168910719,0.40510471320529,0.0,0.634040944731772,1.66533453693773e-14,469.629923459764
1,824.326849353225,760.381103040061,28.0245639152789,0.405679556046798,0.0,0.5943204439532019,2.48689957516035e-14,458.287841293234
