w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,659.112138854989,874.458570951772,23.7407192872647,0.340364657254056,0.0,1.1870359643632349,-1.0813572259849e-13,525.544074911093
0.05,666.605491049443,865.959967236169,23.7462563256063,0.351536814335835,0.0,1.1603703347495076,2.41584530158434e-13,518.200185076667
0.1,672.49144655595,858.046568131653,23.7607641274893,0.360556324464245,0.0,1.1331787532905941,-9.04498698162115e-13,512.453233887165
0.2,681.174037047234,843.104218711685,23.8105314660732,0.37479902036855,0.0,1.077461454569218,-2.8199664825479e-14,504.032745751674
0.35,689.817409091041,821.041669073294,23.9334954782156,0.391076595512188,0.0,0.9909617946127413,3.99680288865056e-15,495.775734718626
0.5,695.71809624671,798.134096475784,24.1214105058474,0.403768223962544,0.0,0.901151150664913,-7.7937656328686e-14,490.275738533655
0.65,700.992720999255,773.676168271328,24.3925438289058,0.413741982159021,0.0,0.8079372286024878,8.65973959207622e-15,485.428766835646
0.8,708.109525531132,746.190813636409,24.7944964793368,0.421354410187705,0.0,0.710861436643204,3.24185123190546e-14,478.792731807731
0.9,715.77463671649,727.228854989794,25.1484280760138,0.424444996271749,0.0,0.643741643735495,-4.14668299697496e-13,471.459719865082
0.95,721.219281381973,717.122056718042,25.370015292027,0.425336927192499,0.0,0.6093549573971935,1.08957287636713e-12,466.192292396571
1,728.369669450947,706.322761102005,25.6388589511449,0.425672070558571,0.0,0.574327929441429,-7.93809462606987e-14,459.231467062661
