x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,level
950.0,600.0,2111.15909790725,2111.15909790725,0.0,0.00115126094003435,0.998848763190979,0.0,25.2228989547682,-119.433410853293,558.0,3
970.0,600.0,2133.37587747015,2133.37587747015,0.0,0.00168031013350575,0.998319662217476,0.0,25.3664354173702,-136.367542565171,558.0,3
950.0,620.0,2121.57396561411,2121.57396561411,0.0,0.00151919005215562,0.998480795967864,0.0,25.2782699498144,-130.28078450265,558.0,3
930.0,620.0,2109.89072690755,2109.89072690754,0.0,0.00102907463885547,0.998970926958746,0.0,25.1815715642391,-113.613317698274,594.0,3
910.0,630.0,2115.53754487587,2115.53754487587,0.0,0.000785753197171725,0.999214252488743,0.0,25.1655312031085,-102.740375670825,630.0,3
930.0,600.0,2104.3952519815,2104.39525198149,0.0,0.000747166156084928,0.999252824549079,0.0,25.1345009764511,-102.601982074071,594.0,3
920.0,590.0,2106.20867965821,2106.20867965821,0.0,0.000488171742153574,0.999511833058502,0.0,25.0962586439464,-88.7742513499027,630.0,3
910.0,620.0,2112.54262437555,2112.54262437555,0.0,0.000657962982978248,0.999342049122426,0.0,25.1372266113915,-97.0572413935329,594.0,3
940.0,605.0,2107.3005795409,2107.30057954089,0.0,0.00100843612902956,0.998991556834874,0.0,25.18247735884,-113.713167168493,594.0,3
940.0,585.0,2104.55341280194,2104.55341280193,0.0,0.000738790575819659,0.999261208437099,0.0,25.1500913368104,-102.974853858051,594.0,3
930.0,580.0,2104.74661445441,2104.74661445441,0.0,0.000530036255827553,0.999469961058603,0.0,25.1108626937267,-91.8459783286203,630.0,3
932.5,586.25,2103.88094641842,2103.88094641842,0.0,0.000629768240521968,0.999370248067848,0.0,25.123466843916,-97.29168750857,630.0,3
922.5,601.25,2105.38883492228,2105.38883492228,0.0,0.0006382341581543,0.999361763783825,0.0,25.1167635307992,-97.0023473565982,594.0,3
935.625,589.0625,2103.91287184152,2103.91287184151,0.0,0.000711901530119454,0.999288090752419,0.0,25.1373824205769,-101.43622153764,630.0,3
938.125,575.3125,2105.17531459847,2105.17531459847,0.0,0.000601909450518628,0.999398079486361,0.0,25.1356352945119,-96.2703010511816,630.0,3
932.03125,593.828125,2103.8721647142,2103.87216471419,0.0,0.000707364804448268,0.999292634051304,0.0,25.1311186313351,-100.964957364325,666.0,3
928.90625,591.015625,2103.97946714997,2103.97946714996,0.0,0.000625318154786853,0.999374690014426,0.0,25.1178504809016,-96.8166615261628,630.0,3
933.9453125,589.55078125,2103.80540072748,2103.80540072748,0.0,0.000689531034877221,0.999310475259888,0.0,25.1319401399273,-100.27897850075,630.0,3
933.4765625,597.12890625,2104.20732294326,2104.20732294325,0.0,0.000772458084150561,0.999227540489683,0.0,25.1411427801396,-103.964353086108,666.0,3
932.744140625,588.9697265625,2103.78629783281,2103.7862978328,0.0,0.000663385633917739,0.999336632009838,0.0,25.1271804523786,-98.9534745730152,630.0,3
