x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1,level
-1500.0,-1600.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2500.0,-1500.0,27633.9434909301,2
-1500.0,-1500.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2400.0,-1500.0,27633.9434909301,2
-1500.0,-1400.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2300.0,-1500.0,27633.9434909301,2
-1500.0,-1300.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2200.0,-1500.0,27633.9434909301,2
-1500.0,-1200.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2100.0,-1500.0,27633.9434909301,2
-1500.0,-1100.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2000.0,-1500.0,27633.9434909301,2
-1500.0,-1000.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1900.0,-1500.0,27633.9434909301,2
-1500.0,-900.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1800.0,-1500.0,27633.9434909301,2
-1500.0,-800.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1700.0,-1500.0,27633.9434909301,2
-1500.0,-700.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1600.0,-1500.0,27633.9434909301,2
-1500.0,-600.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1500.0,-1500.0,27633.9434909301,2
-1500.0,-500.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1400.0,-1500.0,27633.9434909301,2
-1500.0,-400.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1300.0,-1500.0,27633.9434909301,2
-1500.0,-300.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1200.0,-1500.0,27633.9434909301,2
-1500.0,-200.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1100.0,-1500.0,27633.9434909301,2
-1500.0,-100.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1000.0,-1500.0,27633.9434909301,2
-1500.0,0.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,900.0,-1500.0,27633.9434909301,2
-1500.0,100.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,800.0,-1500.0,27633.9434909301,2
-1500.0,200.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,700.0,-1500.0,27633.9434909301,2
-1500.0,300.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,600.0,-1500.0,27633.9434909301,2
-1500.0,400.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,500.0,-1500.0,27633.9434909301,2
-1500.0,500.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,400.0,-1500.0,27633.9434909301,2
-1500.0,600.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,300.0,-1500.0,27633.9434909301,2
-1500.0,700.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,200.0,-1500.0,27633.9434909301,2
-1500.0,800.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,99.9999999999999,-1500.0,27633.9434909301,2
-1500.0,900.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-1.13686837721616e-13,-1500.0,27633.9434909301,2
-1500.0,1000.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-100.0,-1500.0,27633.9434909301,2
-1500.0,1100.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-200.0,-1500.0,27633.9434909301,2
-1500.0,1200.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-300.0,-1500.0,27633.9434909301,2
-1500.0,1300.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-400.0,-1500.0,27633.9434909301,2
-1500.0,1400.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-500.0,-1500.0,27633.9434909301,2
-1500.0,1500.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-600.0,-1500.0,27633.9434909301,2
-1500.0,1600.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,-700.0,-1500.0,27633.9434909301,2
-1400.0,-1600.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2500.0,-1400.0,27633.9434909301,2
-1400.0,-1500.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2400.0,-1400.0,27633.9434909301,2
-1400.0,-1400.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2300.0,-1400.0,27633.9434909301,2
-1400.0,-1300.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2200.0,-1400.0,27633.9434909301,2
-1400.0,-1200.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2100.0,-1400.0,27633.9434909301,2
-1400.0,-1100.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,2000.0,-1400.0,27633.9434909301,2
-1400.0,-1000.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1900.0,-1400.0,27633.9434909301,2
-1400.0,-900.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1800.0,-1400.0,27633.9434909301,2
-1400.0,-800.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1700.0,-1400.0,27633.9434909301,2
-1400.0,-700.0,1755926.53829928,1755926.53829928,0.0,0.999999999999998,0.0,0.0,747.615393469891,0.0,12.0,1600.0,-1400.0,27633.9434909301,2
