time_s,radius_cm,T_no_latent_C,T_latent_C,temperature_drop_C,C_shared_kg_kg,historical_T_C,historical_C_kg_kg
0,0.0,28.0,28.0,0.0,2.55,28.0,2.55
0,0.1,28.0,28.0,0.0,2.55,28.0,2.55
0,0.2,28.0,28.0,0.0,2.55,28.0,2.55
0,0.3,28.0,28.0,0.0,2.55,28.0,2.55
0,0.4,28.0,28.0,0.0,2.55,28.0,2.55
0,0.5,28.0,28.0,0.0,2.55,28.0,2.55
0,0.6,28.0,28.0,0.0,2.55,28.0,2.55
0,0.7,28.0,28.0,0.0,2.55,28.0,2.55
0,0.8,28.0,28.0,0.0,2.55,28.0,2.55
0,0.9,28.0,28.0,0.0,2.55,28.0,2.55
0,1.0,28.0,28.0,0.0,2.55,28.0,2.55
0,1.1,28.0,28.0,0.0,2.55,28.0,2.55
0,1.2,28.0,28.0,0.0,2.55,28.0,2.55
0,1.3,28.0,28.0,0.0,2.55,28.0,2.55
0,1.4,28.0,28.0,0.0,2.55,28.0,2.55
0,1.5,28.0,28.0,0.0,2.55,28.0,2.55
0,1.6,28.0,28.0,0.0,2.55,28.0,2.55
0,1.7,28.0,28.0,0.0,2.55,28.0,2.55
0,1.8,28.0,28.0,0.0,2.55,28.0,2.55
0,1.9,28.0,28.0,0.0,2.55,28.0,2.55
0,2.0,28.0,28.0,0.0,2.55,28.0,2.55
1,0.0,28.00000000000019,28.00000000000019,0.0,2.55,28.0,2.55
1,0.1,27.99999999999983,27.99999999999983,0.0,2.5499999999999994,28.000000000000004,2.55
1,0.2,27.999999999997513,27.999999999997513,0.0,2.55,28.0,2.55
1,0.3,27.99999999999982,27.99999999999982,0.0,2.5500000000000007,28.00000000000001,2.5500000000000007
1,0.4,28.000000000001286,28.000000000001286,0.0,2.55,28.0,2.5500000000000003
1,0.5,28.000000000002206,28.000000000002206,0.0,2.5500000000000007,28.0,2.5500000000000003
1,0.6,28.000000000010573,28.000000000010573,0.0,2.549999999999998,28.0,2.549999999999997
1,0.7,28.00000000000015,28.00000000000015,0.0,2.550000000000001,28.000000000000004,2.5500000000000007
1,0.8,28.000000000000057,28.000000000000057,0.0,2.55,27.99999999999991,2.55
1,0.9,27.999999999998074,27.999999999998074,0.0,2.5499999999999967,27.999999999999485,2.5499999999999967
1,1.0,27.999999999999982,27.999999999999982,0.0,2.55,28.0,2.55
1,1.1,27.999999999999723,27.999999999999723,0.0,2.55,28.0,2.55
1,1.2,27.999999999999286,27.999999999999286,0.0,2.5499999999999994,28.0,2.5500000000000003
1,1.3,27.99999999999876,27.99999999999876,0.0,2.5499999999999994,28.0,2.5499999999999994
1,1.4,27.999999999999986,27.999999999999986,0.0,2.5500000000000003,28.0,2.5500000000000003
1,1.5,27.999999999999893,27.999999999999893,0.0,2.5499999999999994,28.0,2.55
1,1.6,28.00000000000013,27.99999999999925,8.810729923425242e-13,2.55,28.000000000000007,2.5500000000000003
1,1.7,28.000000000001204,27.999999912458325,8.754287961210139e-08,2.5499999999999994,28.00000000000017,2.5499999999999994
1,1.8,28.000000006139217,27.999717331129695,0.0002826750095223929,2.5500000000000003,28.000000006149417,2.5500000000000003
1,1.9,28.000003096273307,27.93541330325436,0.0645897930189463,2.5499999999999994,28.000003097020358,2.5499999999999994
1,2.0,28.000186639539535,26.570303274609426,1.4298833649301095,2.51772674196941,28.00018660932278,2.517727238833047
2,0.0,28.00000000000019,28.00000000000019,0.0,2.55,28.0,2.55
2,0.1,27.99999999999983,27.99999999999983,0.0,2.5499999999999994,28.000000000000004,2.55
2,0.2,27.999999999997513,27.999999999997513,0.0,2.55,28.0,2.55
2,0.3,27.99999999999982,27.99999999999982,0.0,2.5500000000000007,28.00000000000001,2.5500000000000007
2,0.4,28.000000000001286,28.000000000001286,0.0,2.55,28.0,2.5500000000000003
2,0.5,28.00000000000327,28.00000000000327,0.0,2.5500000000000007,28.0,2.5500000000000003
2,0.6,28.00000000001137,28.00000000001137,0.0,2.549999999999998,28.0,2.549999999999997
2,0.7,28.00000000000015,28.00000000000015,0.0,2.550000000000001,28.000000000000004,2.5500000000000007
2,0.8,28.000000000000057,28.000000000000057,0.0,2.55,27.99999999999991,2.55
2,0.9,27.999999999998074,27.999999999998074,0.0,2.5499999999999967,27.999999999999485,2.5499999999999967
2,1.0,27.999999999999982,27.999999999999982,0.0,2.55,28.0,2.55
2,1.1,27.999999999999723,27.999999999999723,0.0,2.55,28.0,2.55
2,1.2,27.999999999999286,27.999999999999286,0.0,2.55,28.0,2.5500000000000003
2,1.3,27.99999999999876,27.99999999999876,0.0,2.5499999999999994,28.0,2.5499999999999994
2,1.4,27.999999999999986,27.99999999999997,1.4210854715202004e-14,2.5500000000000003,28.0,2.5500000000000003
2,1.5,27.999999999999893,27.999999999455547,5.443467898658128e-10,2.5499999999999994,28.0,2.55
2,1.6,28.0000000000188,27.99999937815332,6.218654817757852e-07,2.55,28.000000000000007,2.5500000000000003
2,1.7,28.00000000708278,27.999822854079106,0.00017715300367271425,2.5499999999999994,28.000000007074316,2.5499999999999994
2,1.8,28.000000893113864,27.986763907598416,0.013236985515447941,2.5500000000000003,28.0000008935888,2.5500000000000003
2,1.9,28.00003565267038,27.717823750631272,0.2822119020391085,2.5499999999999994,28.000035652238207,2.5499999999999994
2,2.0,28.00052529158073,25.99914760374615,2.00137768783458,2.504492949331256,28.000525249746985,2.504493300899636
3,0.0,27.9999999999923,27.9999999999923,0.0,2.5499999999999985,28.000000000000085,2.55
3,0.1,27.9999999999975,27.9999999999975,0.0,2.5499999999999976,28.0,2.549999999999998
3,0.2,27.99999999999806,27.99999999999806,0.0,2.5499999999999985,27.99999999999995,2.55
3,0.3,28.000000000001776,28.000000000001776,0.0,2.5500000000000003,28.00000000000002,2.5500000000000003
3,0.4,28.000000000008562,28.000000000008562,0.0,2.549999999999998,27.999999999999968,2.549999999999999
3,0.5,28.000000000006395,28.000000000006395,0.0,2.5500000000000007,27.99999999999998,2.5500000000000016
3,0.6,27.99999999999914,27.99999999999914,0.0,2.549999999999999,28.000000000000004,2.5499999999999985
3,0.7,28.00000000000955,28.00000000000955,0.0,2.5500000000000003,28.000000000000004,2.5500000000000007
