r_m,T_C,T0_C
0,10.30161450637295,33.575344825406717
1.5625000000000001e-06,10.301614510419332,33.575344844598739
3.1250000000000001e-06,10.301614522558586,33.575344902174983
4.6875000000000004e-06,10.30161454279069,33.575344998135492
6.2500000000000003e-06,10.301614571115618,33.575345132480059
7.8125000000000002e-06,10.301614607533367,33.575345305208906
9.3750000000000009e-06,10.301614652044005,33.575345516321882
1.09375e-05,10.301614704647436,33.575345765819009
1.2500000000000001e-05,10.301614765343752,33.575346053700287
1.4062500000000001e-05,10.3016148341329,33.575346379965808
1.5625e-05,10.3016149110149,33.575346744615501
1.7187500000000001e-05,10.301614995989786,33.575347147649403
1.8750000000000002e-05,10.301615089057544,33.575347589067519
2.0312500000000002e-05,10.301615190218168,33.575348068869651
2.1875e-05,10.30161529947169,33.575348587056176
2.34375e-05,10.301615416818107,33.575349143626937
2.5000000000000001e-05,10.301615542257441,33.5753497385816
2.6562500000000002e-05,10.301615675789661,33.575350371920543
2.8125000000000003e-05,10.301615817414808,33.575351043643835
2.96875e-05,10.301615967132914,33.5753517537512
3.1250000000000001e-05,10.301616124943919,33.57535250224263
3.2812500000000005e-05,10.301616290847912,33.575353289118361
3.4375000000000002e-05,10.301616464844905,33.575354114378186
3.5937499999999999e-05,10.301616646934827,33.575354978022197
3.7500000000000003e-05,10.301616837117788,33.575355880050573
3.9062500000000001e-05,10.30161703539371,33.575356820463092
4.0625000000000005e-05,10.30161724176274,33.575357799259677
4.2187500000000002e-05,10.301617456224722,33.575358816440463
4.375e-05,10.301617678779833,33.575359872005443
4.5312500000000004e-05,10.301617909427987,33.575360965954644
4.6875000000000001e-05,10.30161814816924,33.575362098288068
4.8437500000000005e-05,10.30161839500362,33.57536326900582
5.0000000000000002e-05,10.301618649931111,33.575364478107453
5.15625e-05,10.301618912951772,33.575365725593421
5.3125000000000004e-05,10.301619184065583,33.575367011463648
5.4687500000000001e-05,10.301619463272594,33.575368335718018
5.6250000000000005e-05,10.301619750572824,33.575369698356603
5.7812500000000003e-05,10.301620045966304,33.575371099379325
5.9375e-05,10.301620349452987,33.575372538786276
6.0937500000000004e-05,10.301620661032999,33.575374016577463
6.2500000000000001e-05,10.301620980706314,33.575375532752773
6.4062500000000005e-05,10.301621308472901,33.575377087312319
6.5625000000000009e-05,10.301621644332922,33.57537868025608
6.71875e-05,10.30162198828628,33.575380311583991
6.8750000000000004e-05,10.30162234033304,33.575381981296168
7.0312500000000008e-05,10.301622700473201,33.57538368939251
7.1874999999999999e-05,10.301623068706865,33.575385435872938
7.3437500000000003e-05,10.301623445034,33.575387220737895
7.5000000000000007e-05,10.301623829454664,33.57538904398676
7.6562499999999998e-05,10.301624221968884,33.575390905620068
7.8125000000000002e-05,10.301624622576654,33.575392805637414
7.9687500000000006e-05,10.301625031278052,33.575394744039002
8.125000000000001e-05,10.301625448073104,33.575396720824905
8.28125e-05,10.30162587296177,33.575398735994902
8.4375000000000004e-05,10.301626305944151,33.575400789549207
8.5937500000000009e-05,10.301626747020286,33.575402881487669
8.7499999999999999e-05,10.301627196190175,33.575405011810417
8.9062500000000003e-05,10.301627653453918,33.575407180517374
9.0625000000000007e-05,10.301628118811456,33.575409387608488
9.2187499999999998e-05,10.301628592262842,33.57541163308391
9.3750000000000002e-05,10.301629073808176,33.575413916943468
9.5312500000000006e-05,10.30162956344746,33.575416239187305
9.687500000000001e-05,10.301630061180692,33.575418599815407
9.8437500000000001e-05,10.301630567007953,33.575420998827681
0.0001,10.301631080929301,33.575423436224234
0.00010156250000000001,10.301631602944706,33.575425912004974
0.000103125,10.301632133054273,33.575428426169978
0.0001046875,10.301632671258023,33.575430978719218
0.00010625000000000001,10.301633217555985,33.575433569652773
0.00010781250000000001,10.301633771948199,33.575436198970429
0.000109375,10.301634334434736,33.5754388666724
0.00011093750000000001,10.301634905015616,33.575441572758578
0.00011250000000000001,10.301635483690896,33.575444317229014
0.0001140625,10.301636070460564,33.575447100083714
0.00011562500000000001,10.301636665324759,33.575449921322601
0.00011718750000000001,10.301637268283447,33.575452780945838
0.00011875,10.301637879336724,33.575455678953318
0.0001203125,10.301638498484632,33.575458615345063
0.00012187500000000001,10.301639125727167,33.575461590121002
0.00012343750000000001,10.301639761064415,33.575464603281191
0.000125,10.30164040449643,33.575467654825736
0.00012656249999999999,10.301641056023284,33.575470744754504
0.00012812500000000001,10.301641715644957,33.575473873067487
0.0001296875,10.301642383361573,33.575477039764756
0.00013125000000000002,10.301643059173134,33.575480244846325
0.00013281250000000001,10.301643743079698,33.575483488312173
0.000134375,10.30164443508132,33.575486770162293
0.00013593750000000002,10.301645135178061,33.575490090396613
0.00013750000000000001,10.301645843369991,33.575493449015362
0.0001390625,10.301646559657133,33.575496846018261
0.00014062500000000002,10.301647284039557,33.575500281405454
0.00014218750000000001,10.301648016517293,33.575503755177103
0.00014375,10.301648757090463,33.575507267332767
0.00014531250000000002,10.301649505759041,33.575510817872967
0.00014687500000000001,10.301650262523136,33.575514406797311
0.0001484375,10.301651027382801,33.57551803410599
0.00015000000000000001,10.301651800338103,33.575521699799033
0.0001515625,10.301652581389055,33.575525403876284
0.000153125,10.301653370535766,33.575529146337907
0.00015468750000000001,10.301654167778235,33.575532927183929
0.00015625,10.301654973116598,33.575536746414166
0.00015781250000000002,10.301655786550858,33.575540604028667
0.00015937500000000001,10.301656608081105,33.575544500027554
0.0001609375,10.30165743770741,33.575548434410699
0.00016250000000000002,10.301658275429833,33.575552407178179
0.00016406250000000001,10.301659121248438,33.575556418330052
0.000165625,10.301659975163229,33.575560467866239
0.00016718750000000002,10.301660837174355,33.575564555786706
0.00016875000000000001,10.30166170728185,33.575568682091479
0.0001703125,10.301662585485797,33.575572846780702
0.00017187500000000002,10.301663471786204,33.575577049854211
