w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.0939095125135415,-4.44089209850063e-16,40.7300826630026
0.05,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.08921403688786442,-4.44089209850063e-16,40.7300826630026
0.1,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.08451856126218735,-4.44089209850063e-16,40.7300826630026
0.2,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.0751276100108332,-4.44089209850063e-16,40.7300826630026
0.35,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.06104118313380198,-4.44089209850063e-16,40.7300826630026
0.5,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.04695475625677075,-4.44089209850063e-16,40.7300826630026
0.65,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.032868329379739526,-4.44089209850063e-16,40.7300826630026
0.8,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.018781902502708298,-4.44089209850063e-16,40.7300826630026
0.9,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.009390951251354149,-4.44089209850063e-16,40.7300826630026
0.95,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,0.004695475625677079,-4.44089209850063e-16,40.7300826630026
1,1770.09721066063,41.9598383601912,1.87819025027083,1.0,0.0,9.39095125135415e-12,-4.44089209850063e-16,40.7300826630026
