budget_m,a_m,b_m,travel_m,radius_upper_m,bin_width_deg,movement_and_measure_s,alpha_deg,candidate_margin_min_m
250.0,84.52365234813988,181.26155740732997,199.99999999999997,263.31647314987833,,,,
250.0,78.14622569785473,184.10097069048805,199.99999999999997,262.49184452954705,,,,
250.0,71.67358990906007,186.71608529944032,199.99999999999997,262.2367542406601,,,,
250.0,65.11363089143134,189.10371511986332,199.99999999999997,261.92447665982536,,,,
250.0,58.47434094454734,191.26095119260705,199.99999999999997,261.85454521704514,,,,
250.0,51.76380902050414,193.18516525781362,199.99999999999997,262.02122174413756,,,,
250.0,95.08910889165736,203.91925208324622,224.99999999999997,242.1758573089233,,,,
250.0,87.91450391008658,207.11359202679907,225.0,241.5809522941564,,,,
250.0,80.63278864769258,210.05559596187035,224.99999999999997,241.23316231526204,,,,
250.0,73.25283475286027,212.74167950984625,224.99999999999997,241.43430884206762,,,,
250.0,65.78363356261576,215.16857009168294,224.99999999999997,241.56567270060637,,,,
250.0,58.23428514806716,217.33331091504033,224.99999999999994,241.92482586637755,,,,
250.0,105.65456543517486,226.5769467591625,250.00000000000003,223.70471249085713,,,,
250.0,97.68278212231841,230.12621336311005,249.99999999999997,223.60716413601654,,,,
250.0,89.59198738632509,233.3951066243004,249.99999999999997,220.00518517488536,0.04999550430625277,54.99999999999999,69.0,2.842170943040401e-14
250.0,81.39203861428918,236.37964389982915,249.99999999999994,223.85442723263318,,,,
250.0,73.09292618068419,239.07618899075882,249.99999999999994,224.1734203668862,,,,
250.0,64.70476127563018,241.48145657226706,249.99999999999997,224.7112758896499,,,,
250.0,85.50503583141722,234.9231551964771,250.00000000000003,223.48212793284054,,,,
250.0,100.00000000000004,173.20508075688775,200.00000000000003,265.9943839737697,,,,
250.0,93.89431255717818,176.5895185717854,200.00000000000003,264.76433517128754,,,,
250.0,87.6742293578155,179.75880925983344,200.00000000000003,263.82796732964607,,,,
250.0,81.34732861516005,182.7090915285202,200.00000000000003,262.87150012290874,,,,
250.0,74.9213186831824,185.43677091335752,200.00000000000003,262.17638481021,,,,
250.0,68.40402866513378,187.9385241571817,200.00000000000003,262.04992128400374,,,,
250.0,112.50000000000004,194.8557158514987,225.00000000000003,245.23580957946058,,,,
250.0,105.63110162682545,198.66320839325857,225.00000000000003,243.26972314773107,,,,
250.0,98.63350802754245,202.2286604173126,225.00000000000003,242.2813657933832,,,,
250.0,91.51574469205507,205.54772796958522,225.00000000000003,241.84697980830694,,,,
250.0,84.2864835185802,208.6163672775272,225.00000000000003,241.37668315558525,,,,
250.0,76.9545322482755,211.4308396768294,225.00000000000003,241.45569345747188,,,,
250.0,125.00000000000004,216.50635094610968,250.00000000000003,227.40676348587004,,,,
250.0,117.36789069647273,220.73689821473175,250.00000000000003,225.50466729932373,,,,
250.0,109.59278669726937,224.69851157479178,250.00000000000003,224.1364505630459,,,,
250.0,101.68416076895006,228.38636441065023,250.00000000000003,223.76602343714933,,,,
250.0,93.651648353978,231.7959636416969,250.00000000000003,223.50752323936553,,,,
500.0,289.2544243589427,344.71999940354004,449.99999999999994,142.11880978608505,,,,
500.0,277.04766389654617,354.6048391230249,449.99999999999994,141.05889475551774,,,,
500.0,264.5033635316129,364.0576474687263,449.99999999999994,140.89154697950445,,,,
500.0,251.63680656183604,373.0669076497687,449.99999999999994,140.9562102651468,,,,
500.0,238.46366890494218,381.6216432703917,450.0,140.61508627922856,,,,
500.0,225.00000000000003,389.71143170299734,450.0,140.02751111925593,,,,
500.0,305.32411460110615,363.8711104815145,474.99999999999994,134.88135246533042,,,,
500.0,292.43920077968767,374.30510796319294,475.0,133.65524568077774,,,,
500.0,279.1979948389247,384.2830723281,474.99999999999994,133.658471152495,,,,
500.0,265.6166291486047,393.79284696364476,474.99999999999994,133.88246878202293,,,,
500.0,251.7116505107723,402.82284567430236,475.0,133.73473771943694,,,,
500.0,237.50000000000003,411.3620667976083,474.99999999999994,133.28866372757975,,,,
500.0,321.39380484326966,383.02222155948897,499.99999999999994,128.14381511858195,,,,
500.0,307.8307376628291,394.00537680336095,499.99999999999994,127.09593862353869,,,,
500.0,293.8926261462365,404.50849718747367,499.99999999999994,127.25514607892866,,,,
500.0,279.59645173537336,414.5187862775208,499.99999999999994,127.63295390760514,,,,
500.0,264.9596321166024,424.024048078213,500.0,127.35575528176707,,,,
500.0,250.00000000000006,433.0127018922193,500.0,127.04062082369055,,,,
500.0,286.78821817552307,409.5760221444958,499.99999999999994,127.32713586591616,,,,
500.0,258.10939635797075,368.6184199300463,450.0,140.99304070147267,,,,
500.0,245.08756575676225,377.40175557544075,449.99999999999994,140.92914520404122,,,,
500.0,231.76713370952442,385.7252853159505,449.99999999999994,140.24714167169756,,,,
500.0,218.1643291108517,393.5788682127281,449.99999999999994,139.85283534455988,,,,
500.0,204.29572488279607,400.9529358847655,450.0,139.52846951875063,,,,
500.0,190.17821778331475,407.8385041664925,450.00000000000006,139.36469611565386,,,,
500.0,272.44880726674694,389.097221037271,474.99999999999994,133.83777569924538,,,,
500.0,258.7035416321379,398.3685197740764,475.0,133.97951139348206,,,,
500.0,244.64308558227577,407.1544678335033,475.0,133.4437712714517,,,,
500.0,230.28456961701013,415.44436089121297,475.0,133.08316558945495,,,,
500.0,215.64548737628473,423.2280989894747,474.99999999999994,132.97999040009563,,,,
500.0,200.74367432683223,430.4961988424087,475.0,132.93609467542151,,,,
500.0,272.3195175075136,419.335283972712,500.0,127.61839641539156,,,,
500.0,257.51903745502716,428.5836503510561,500.0,127.21917423294346,,,,
500.0,242.40481012316855,437.30985356969785,499.99999999999994,126.98604217736738,,,,
500.0,226.9952498697734,445.50326209418387,499.99999999999994,124.45957875751367,0.049982731837417305,104.99999999999999,63.0,5.684341886080802e-14
500.0,211.30913087034972,453.153893518325,500.00000000000006,127.06065783234578,,,,
750.0,494.9747468305833,494.9747468305833,700.0,90.70671976073214,,,,
750.0,477.39885204374895,511.94759113341934,700.0,90.29254654172047,,,,
750.0,459.2413202933551,528.2967061559405,700.0000000000001,90.0314412695246,,,,
750.0,440.52427373488626,544.0021730198796,700.0,90.07093144382753,,,,
750.0,421.27051620643385,559.044857033105,700.0000000000001,91.06018387042917,,,,
750.0,401.50350544573223,573.4064310022943,700.0,91.23107951868936,,,,
750.0,512.652416360247,512.652416360247,725.0000000000001,87.09465838076535,,,,
750.0,494.4488110453114,530.2314336738986,725.0,86.74089478170569,,,,
750.0,475.6427960181178,547.1644456615097,725.0,86.58885199273203,,,,
750.0,456.2572835111322,563.4308220563039,725.0,87.01407311456887,,,,
750.0,436.31589178523507,579.0107447842873,725.0000000000001,87.7266520682531,,,,
750.0,415.84291635450836,593.885232109519,725.0,87.98417927276762,,,,
750.0,530.3300858899107,530.3300858899107,750.0000000000001,83.66725856551136,,,,
750.0,511.49877004687386,548.5152762143779,750.0,83.42870356639027,,,,
750.0,492.0442717428805,566.032185167079,750.0,83.37934268489133,,,,
750.0,471.9902932873781,582.8594710927282,750.0,84.1980425072666,,,,
750.0,451.3612673640363,598.9766325354697,750.0000000000001,84.623158942571,,,,
750.0,430.18232726328455,614.3640332167439,750.0000000000001,84.96177301174126,,,,
750.0,482.0907072649046,574.5333323392337,750.0000000000001,83.55530222030552,,,,
750.0,536.2311101832847,449.9513267805776,700.0000000000001,91.73440244051271,,,,
750.0,520.201377834176,468.39142445120086,700.0000000000001,90.71286920067642,,,,
750.0,503.5378602370559,486.26085932129814,700.0000000000001,90.28208850924014,,,,
750.0,486.26085932129814,503.5378602370559,700.0000000000001,90.50756285888467,,,,
750.0,468.39142445120086,520.201377834176,700.0000000000001,90.16137528451104,,,,
750.0,449.95132678057763,536.2311101832847,700.0000000000001,89.94073962012065,,,,
750.0,555.3822212612591,466.02101702274103,725.0000000000001,87.8028940028116,,,,
750.0,538.779998471111,485.1196896101723,725.0000000000001,86.93300173178382,,,,
750.0,521.5213552455222,503.6273185827731,725.0000000000001,86.83952088016434,,,,
750.0,503.6273185827731,521.5213552455222,725.0000000000001,86.8960898830955,,,,
750.0,485.1196896101723,538.779998471111,725.0000000000001,86.62673182786544,,,,
750.0,466.0210170227411,555.3822212612591,725.0000000000001,86.5507417856672,,,,
750.0,574.5333323392337,482.0907072649045,750.0000000000001,84.09211216509465,,,,
