w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.5363960679213,6.66133814775094e-16,238.154364613262
0.05,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.509576264525235,6.66133814775094e-16,238.154364613262
0.1,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.48275646112917003,6.66133814775094e-16,238.154364613262
0.2,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.42911685433704,6.66133814775094e-16,238.154364613262
0.35,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.34865744414884503,6.66133814775094e-16,238.154364613262
0.5,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.26819803396065,6.66133814775094e-16,238.154364613262
0.65,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.18773862377245498,6.66133814775094e-16,238.154364613262
0.8,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.10727921358425999,6.66133814775094e-16,238.154364613262
0.9,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.05363960679212999,6.66133814775094e-16,238.154364613262
0.95,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,0.026819803396065024,6.66133814775094e-16,238.154364613262
1,1454.61686507056,412.05763239786,10.727921358426,1.0,0.0,5.363960679213001e-11,6.66133814775094e-16,238.154364613262
