x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1
362.05763239786,195.383134929444,434.737453367368,434.737453367367,0,0,0.999999999999996,0,11.2664842064101,0,414,1504.61686507056,362.05763239786,6118.45869718926
362.05763239786,200.383134929444,430.164811524155,430.164811524154,0,0,0.999999999999996,0,11.2206938854868,0,414,1499.61686507056,362.05763239786,6118.45869718926
362.05763239786,205.383134929444,426.087909390958,426.087909390957,0,0,0.999999999999996,0,11.1804182206368,0,414,1494.61686507056,362.05763239786,6118.45869718926
362.05763239786,210.383134929444,422.465882254578,422.465882254576,0,0,0.999999999999995,0,11.1452654567642,0,414,1489.61686507056,362.05763239786,6118.45869718926
362.05763239786,215.383134929444,419.261663444256,419.261663444254,0,0,0.999999999999995,0,11.1148650799288,0,414,1484.61686507056,362.05763239786,6118.45869718926
362.05763239786,220.383134929444,416.444485788035,416.444485788034,0,0,0.999999999999995,0,11.0889305917018,0,378,1479.61686507056,362.05763239786,6118.45869718926
362.05763239786,225.383134929444,413.98398778266,413.983987782659,0,0,0.999999999999995,0,11.0671389971909,0,378,1474.61686507056,362.05763239786,6118.45869718926
362.05763239786,230.383134929444,411.855156780318,411.855156780317,0,0,0.999999999999995,0,11.0492436794708,0,378,1469.61686507056,362.05763239786,6118.45869718926
362.05763239786,235.383134929444,410.034210563485,410.034210563484,0,0,0.999999999999996,0,11.0349909260459,0,378,1464.61686507056,362.05763239786,6118.45869718926
362.05763239786,240.383134929444,408.500711027875,408.500711027874,0,0,0.999999999999996,0,11.0241693467057,0,378,1459.61686507056,362.05763239786,6118.45869718926
362.05763239786,245.383134929444,407.235503572407,407.235503572407,0,0,0.999999999999995,0,11.0165698161505,0,378,1454.61686507056,362.05763239786,6118.45869718926
362.05763239786,250.383134929444,406.221544551147,406.221544551146,0,0,0.999999999999994,0,11.0120061158473,0,378,1449.61686507056,362.05763239786,6118.45869718926
362.05763239786,255.383134929444,405.443382128018,405.443382128018,0,0,0.999999999999995,0,11.0103066209167,0,378,1444.61686507056,362.05763239786,6118.45869718926
362.05763239786,260.383134929444,404.887035884891,404.88703588489,0,0,0.999999999999995,0,11.0113140147313,0,378,1439.61686507056,362.05763239786,6118.45869718926
362.05763239786,265.383134929444,404.539903077394,404.539903077393,0,0,0.999999999999997,0,11.0148852549187,0,378,1434.61686507056,362.05763239786,6118.45869718926
362.05763239786,270.383134929444,404.389736250588,404.389736250588,0,0,0.999999999999995,0,11.0208724350789,0,378,1429.61686507056,362.05763239786,6118.45869718926
362.05763239786,275.383134929444,404.426915837361,404.42691583736,0,0,0.999999999999995,0,11.0291702453486,0,378,1424.61686507056,362.05763239786,6118.45869718926
362.05763239786,280.383134929444,404.641315432867,404.641315432866,0,0,0.999999999999995,0,11.039653697742,0,378,1419.61686507056,362.05763239786,6118.45869718926
362.05763239786,285.383134929444,405.023598867041,405.02359886704,0,0,0.999999999999995,0,11.0522056850586,0,378,1414.61686507056,362.05763239786,6118.45869718926
