x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1,level
-1500.0,-1200.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2900.0,-1500.0,6118.45869718926,2
-1500.0,-1100.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2800.0,-1500.0,6118.45869718926,2
-1500.0,-1000.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2700.0,-1500.0,6118.45869718926,2
-1500.0,-900.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2600.0,-1500.0,6118.45869718926,2
-1500.0,-800.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2500.0,-1500.0,6118.45869718926,2
-1500.0,-700.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2400.0,-1500.0,6118.45869718926,2
-1500.0,-600.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2300.0,-1500.0,6118.45869718926,2
-1500.0,-500.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2200.0,-1500.0,6118.45869718926,2
-1500.0,-400.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2100.0,-1500.0,6118.45869718926,2
-1500.0,-300.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,2000.0,-1500.0,6118.45869718926,2
-1500.0,-200.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1900.0,-1500.0,6118.45869718926,2
-1500.0,-100.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1800.0,-1500.0,6118.45869718926,2
-1500.0,0.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1700.0,-1500.0,6118.45869718926,2
-1500.0,100.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1600.0,-1500.0,6118.45869718926,2
-1500.0,200.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1500.0,-1500.0,6118.45869718926,2
-1500.0,300.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1400.0,-1500.0,6118.45869718926,2
-1500.0,400.0,299015.33764914,299015.33764914,0.0,0.999999999999998,0.0,0.0,308.511811920233,0.0,12.0,1300.0,-1500.0,6118.45869718926,2
