a_m,beta_deg,objective,q_x,q_y,expected_area_m2,expected_radius_m,P_H,P_N,P_loc,global_optimum_certified
0,0,area,932.612794601461,589.96509802943,2103.78339485727,25.1279543960418,0.0,0.000672435154979434,0.0,False
0,0,radius,906.61940693127,-572.792222899373,2118.14882117615,25.0757219311063,0.0,0.000226392653960643,0.0,False
900,0,area,1545.62309371283,-397.344205852535,936.897220462316,16.9666487502432,0.0,0.0,0.0,False
900,0,radius,1529.44336480838,-379.152881108494,940.94774391118,16.9365747391433,0.0,0.0,0.0,False
900,90,area,310.03490197057,932.612794601461,2103.78339485727,25.1279543960417,0.0,0.000672435154979434,0.0,False
900,90,radius,1472.79222289937,906.61940693127,2118.14882117614,25.0757219311063,0.0,0.000226392653960643,0.0,False
1700,0,area,1771.91367235685,-43.9253686946936,11.5161432722614,1.88152272354663,0.0,0.0,0.0,False
1700,0,radius,1770.09721066063,41.9598383601912,11.5661487245448,1.87819024990005,0.0,0.0,0.0,False
1700,90,area,1445.00504847408,418.319280465036,372.974829686127,10.7371728468087,0.0,0.0,0.0,False
1700,90,radius,1454.61686507056,412.05763239786,373.727707992447,10.727921356459,0.0,0.0,0.0,False
1780,0,area,1792.5034106813,-4.4086956307865e-13,0.0,0.0,0.666531575801376,0.0,1.00000000000089,True
1780,0,radius,1792.5034106813,-4.4086956307865e-13,0.0,0.0,0.666531575801376,0.0,1.00000000000089,True
2500,150,area,1292.17593762127,187.729402397456,1850.22185213165,23.9011915103458,0.0,0.0,0.0,False
2500,150,radius,1319.48091604948,193.873728304792,1859.34700058439,23.8525787833701,0.0,0.0,0.0,False
2500,180,area,1427.17057172866,-495.626546698439,1897.79341897328,24.1614240422196,0.0,0.0,0.0,False
2500,180,radius,1454.04569883402,472.600926375876,1910.96578499185,24.0940779591715,0.0,0.0,0.0,False
