w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.093909512647046,-1.11022302462516e-16,40.7339752709268
0.05,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.08921403701469369,-1.11022302462516e-16,40.7339752709268
0.1,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.0845185613823414,-1.11022302462516e-16,40.7339752709268
0.2,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.0751276101176368,-1.11022302462516e-16,40.7339752709268
0.35,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.0610411832205799,-1.11022302462516e-16,40.7339752709268
0.5,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.046954756323523,-1.11022302462516e-16,40.7339752709268
0.65,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.0328683294264661,-1.11022302462516e-16,40.7339752709268
0.8,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.018781902529409193,-1.11022302462516e-16,40.7339752709268
0.9,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.009390951264704597,-1.11022302462516e-16,40.7339752709268
0.95,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.004695475632352304,-1.11022302462516e-16,40.7339752709268
1,1770.09754264753,41.9637373559216,1.87819025294092,1.0,0.0,0.0,-1.11022302462516e-16,40.7339752709268
