w,q_x_m,q_abs_y_m,J_m,P_finish
0,906.61940693127,572.792222899373,25.075721932282,0.266211850594134
0.05,895.786469470461,562.29002494931,25.0862294463774,0.287677304755808
0.1,885.869215864265,554.025922660584,25.1124513325215,0.304022582091715
0.2,867.443056398354,541.793287188394,25.1970352314579,0.328364013031888
0.35,840.921239985028,529.583659829511,25.3912445756733,0.35419697032876
0.5,813.824371479152,521.018510869701,25.6746025616283,0.373364048581302
0.65,785.070084106417,513.089848289038,26.0760243822584,0.388135209679873
0.8,754.029054966445,502.358537975245,26.6505996163508,0.398915466793782
0.9,731.423130778445,490.731442402798,27.1956181040777,0.403657784398248
0.95,719.103049974651,482.248273896758,27.5563608098308,0.405105218188298
1,705.537443819203,470.667965920054,28.0245163683768,0.405679556046621
